Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Moonlight_before,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Temp_cent,Rainfall,n
96,WDF96,15/04/2008,03:20:00,96,135,15/04/2008,16/04/2012,06:20:00,15/04/2008 03:20,WDF9641015,15/04/2008 06:20,235,8451,15/04/2008 06:20,15/04/2008,06:20:00,Start,35.96170213,Morning,10:15:00,15/04/2008 04:30,Loisaba,16/04/2012 06:08,16/04/2012 18:57,0.342112871,2.565022346,no,no,no,No,30.13,2.455262396,0,1
96,WDF96,16/04/2008,03:25:00,69,98,16/04/2008,17/04/2012,06:25:00,16/04/2008 03:25,WDF9641016,16/04/2008 06:25,170,3336,16/04/2008 06:25,16/04/2008,06:25:00,Start,19.62352941,Morning,09:15:00,16/04/2008 05:45,Loisaba,17/04/2012 06:08,17/04/2012 18:57,0.135515714,0.148867409,no,no,no,No,30.08,2.405262396,0,1
96,WDF96,24/01/2009,03:20:00,56,87,24/01/2009,25/01/2013,06:20:00,24/01/2009 03:20,WDF9641299,24/01/2009 06:20,125,5388,24/01/2009 06:20,24/01/2009,06:20:00,Start,43.104,Morning,08:25:00,24/01/2009 05:05,Loisaba,25/01/2013 06:20,25/01/2013 19:10,10.57677868,0.049262741,no,no,no,No,29.98,2.305262396,0,1
96,WDF96,25/09/2008,02:45:00,9,7,25/09/2008,26/09/2012,05:45:00,25/09/2008 02:45,WDF9641178,25/09/2008 05:45,230,12025,25/09/2008 05:45,25/09/2008,05:45:00,Start,52.28261,Morning,09:35:00,25/09/2008 04:40,Loisaba,26/09/2012 06:00,26/09/2012 18:48,8.621860151,7.92018997,no,no,no,No,29.87,2.195262396,8.64,1
96,WDF96,01/04/2008,03:05:00,1,3,01/04/2008,02/04/2012,06:05:00,01/04/2008 03:05,WDF9641001,01/04/2008 06:05,210,10242,01/04/2008 06:05,01/04/2008,06:05:00,Start,48.77142857,Morning,09:35:00,01/04/2008 05:50,Loisaba,02/04/2012 06:12,02/04/2012 19:01,7.210739131,6.311075507,no,no,no,No,29.83,2.155262396,0.76,1
96,WDF96,26/03/2008,02:45:00,3,6,26/03/2008,27/03/2012,05:45:00,26/03/2008 02:45,WDF9640995,26/03/2008 05:45,195,7839,26/03/2008 05:45,26/03/2008,05:45:00,Start,40.2,Morning,09:00:00,26/03/2008 05:30,Loisaba,27/03/2012 06:14,27/03/2012 19:02,0.97770846,7.210739131,no,no,no,No,29.82,2.145262396,0,1
96,WDF96,27/10/2008,02:55:00,63,72,27/10/2008,28/10/2012,05:55:00,27/10/2008 02:55,WDF9641210,27/10/2008 05:55,205,8648,27/10/2008 05:55,27/10/2008,05:55:00,Start,42.18537,Morning,09:20:00,27/10/2008 04:25,Loisaba,28/10/2012 05:52,28/10/2012 18:41,11.07764989,0.728138977,no,no,no,Yes,29.78,2.105262396,0,1
96,WDF96,06/10/2008,02:25:00,90,130,06/10/2008,07/10/2012,05:25:00,06/10/2008 02:25,WDF9641189,06/10/2008 05:25,210,9798,06/10/2008 05:25,06/10/2008,05:25:00,Start,46.65714,Morning,08:55:00,06/10/2008 04:05,Loisaba,07/10/2012 05:57,07/10/2012 18:45,2.757760468,0.163161666,no,no,no,No,29.71,2.035262396,0,1
96,WDF96,30/01/2009,03:00:00,0,2,30/01/2009,31/01/2013,06:00:00,30/01/2009 03:00,WDF9641305,30/01/2009 06:00,170,8369,30/01/2009 06:00,30/01/2009,06:00:00,Start,49.22941,Morning,08:50:00,30/01/2009 04:50,Loisaba,31/01/2013 06:22,31/01/2013 19:11,5.955698175,2.757760468,no,no,no,No,29.71,2.035262396,6.86,1
96,WDF96,24/03/2008,03:15:00,127,124,24/03/2008,25/03/2012,06:15:00,24/03/2008 03:15,WDF9640993,24/03/2008 06:15,145,8572,24/03/2008 06:15,24/03/2008,06:15:00,Start,59.11724138,Morning,08:40:00,24/03/2008 05:50,Loisaba,25/03/2012 06:15,25/03/2012 19:03,0.245098921,8.168939128,no,no,no,No,29.7,2.025262396,0,1
96,WDF96,27/04/2008,03:50:00,16,22,27/04/2008,28/04/2012,06:50:00,27/04/2008 03:50,WDF9641027,27/04/2008 06:50,90,1622,27/04/2008 06:50,27/04/2008,06:50:00,Start,18.02222222,Morning,08:20:00,27/04/2008 05:45,Loisaba,28/04/2012 06:05,28/04/2012 18:56,2.906446528,0.245098921,no,no,no,No,29.7,2.025262396,1.78,1
96,WDF96,21/09/2008,02:35:00,107,72,21/09/2008,22/09/2012,05:35:00,21/09/2008 02:35,WDF9641174,21/09/2008 05:35,155,7711,21/09/2008 05:35,21/09/2008,05:35:00,Start,49.74839,Morning,08:10:00,21/09/2008 04:50,Loisaba,22/09/2012 06:02,22/09/2012 18:50,3.210761165,2.906446528,no,no,no,No,29.7,2.025262396,0,1
96,WDF96,28/01/2009,03:25:00,0,4,28/01/2009,29/01/2013,06:25:00,28/01/2009 03:25,WDF9641303,28/01/2009 06:25,105,3533,28/01/2009 06:25,28/01/2009,06:25:00,Start,33.64762,Morning,08:10:00,28/01/2009 05:15,Loisaba,29/01/2013 06:21,29/01/2013 19:11,8.783638149,8.698663522,no,no,no,No,29.68,2.005262396,0,1
96,WDF96,02/05/2008,03:45:00,41,37,02/05/2008,03/05/2012,06:45:00,02/05/2008 03:45,WDF9641032,02/05/2008 06:45,130,6945,02/05/2008 06:45,02/05/2008,06:45:00,Start,53.42307692,Morning,08:55:00,02/05/2008 06:10,Loisaba,03/05/2012 06:05,03/05/2012 18:55,9.336091523,6.813543006,no,no,no,No,29.67,1.995262396,0,1
96,WDF96,20/03/2008,03:10:00,47,63,20/03/2008,21/03/2012,06:10:00,20/03/2008 03:10,WDF9640989,20/03/2008 06:10,215,5856,20/03/2008 06:10,20/03/2008,06:10:00,Start,27.2372093,Morning,09:45:00,20/03/2008 05:40,Loisaba,21/03/2012 06:16,21/03/2012 19:04,1.35E-05,3.405243698,no,no,no,No,29.5,1.825262396,0,1
96,WDF96,04/05/2008,03:15:00,171,194,04/05/2008,05/05/2012,06:15:00,04/05/2008 03:15,WDF9641034,04/05/2008 06:15,205,9996,04/05/2008 06:15,04/05/2008,06:15:00,Start,48.76097561,Morning,09:40:00,04/05/2008 05:20,Loisaba,05/05/2012 06:04,05/05/2012 18:55,11.12934283,1.077911577,no,no,no,No,29.39,1.715262396,0.25,1
96,WDF96,28/04/2008,03:05:00,92,129,28/04/2008,29/04/2012,06:05:00,28/04/2008 03:05,WDF9641028,28/04/2008 06:05,245,7854,28/04/2008 06:05,28/04/2008,06:05:00,Start,32.05714286,Morning,10:10:00,28/04/2008 05:10,Loisaba,29/04/2012 06:05,29/04/2012 18:56,4.012905954,10.73992125,no,no,no,No,29.37,1.695262396,0.25,1
96,WDF96,23/03/2008,03:10:00,0,3,23/03/2008,24/03/2012,06:10:00,23/03/2008 03:10,WDF9640992,23/03/2008 06:10,130,8781,23/03/2008 06:10,23/03/2008,06:10:00,Start,67.54615385,Morning,08:20:00,23/03/2008 05:50,Loisaba,24/03/2012 06:15,24/03/2012 19:03,0.082224864,0.000242812,no,no,no,No,29.36,1.685262396,0,1
96,WDF96,08/10/2008,03:05:00,126,127,08/10/2008,09/10/2012,06:05:00,08/10/2008 03:05,WDF9641191,08/10/2008 06:05,130,5563,08/10/2008 06:05,08/10/2008,06:05:00,Start,42.79231,Morning,08:15:00,08/10/2008 05:30,Loisaba,09/10/2012 05:56,09/10/2012 18:44,1.179905965,0.025997883,no,no,no,No,29.34,1.665262396,1.78,1
96,WDF96,04/10/2008,02:10:00,73,99,04/10/2008,05/10/2012,05:10:00,04/10/2008 02:10,WDF9641187,04/10/2008 05:10,185,8333,04/10/2008 05:10,04/10/2008,05:10:00,Start,45.04324,Morning,08:15:00,04/10/2008 04:20,Loisaba,05/10/2012 05:57,05/10/2012 18:45,4.93143037,4.285919602,no,no,no,No,29.27,1.595262396,0,1
96,WDF96,09/10/2008,02:30:00,2,0,09/10/2008,10/10/2012,05:30:00,09/10/2008 02:30,WDF9641192,09/10/2008 05:30,205,7717,09/10/2008 05:30,09/10/2008,05:30:00,Start,37.6439,Morning,08:55:00,09/10/2008 05:05,Loisaba,10/10/2012 05:56,10/10/2012 18:44,0.654398515,0.982679998,no,no,no,No,29.23,1.555262396,0,1
96,WDF96,30/04/2008,02:55:00,0,2,30/04/2008,01/05/2012,05:55:00,30/04/2008 02:55,WDF9641030,30/04/2008 05:55,135,6816,30/04/2008 05:55,30/04/2008,05:55:00,Start,50.48888889,Morning,08:10:00,30/04/2008 05:20,Loisaba,01/05/2012 06:05,01/05/2012 18:55,6.626747544,0,no,no,no,No,29.22,1.545262396,16.26,1
96,WDF96,07/01/2009,02:50:00,1,2,07/01/2009,08/01/2013,05:50:00,07/01/2009 02:50,WDF9641282,07/01/2009 05:50,340,11318,07/01/2009 05:50,07/01/2009,05:50:00,Start,33.28824,Morning,11:30:00,07/01/2009 04:20,Loisaba,08/01/2013 06:14,08/01/2013 19:05,0.151332223,3.188316824,no,no,no,Yes,29.17,1.495262396,0,1
